Unnamed: 0.1,Unnamed: 0,Text,Sentiment,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,cleaned_text,extracted_hashtags
12,12, Exploring the city's hidden gems.                  ,positive,2023-01-18 14:50:00, UrbanExplorer, Facebook , #CityExplore #HiddenGems                ,12.0,25.0, UK       ,2023,1,18,14,exploring the city s hidden gems,
13,13," New year, new fitness goals! 💪                    ",positive,2023-01-18 18:00:00, FitJourney   , Instagram , #NewYear #FitnessGoals                  ,28.0,55.0, USA        ,2023,1,18,18,new year new fitness goals flexed_biceps,
14,14, Technology is changing the way we live.            ,neutral,2023-01-19 09:45:00, TechEnthusiast, Twitter  , #Tech #Innovation                       ,15.0,30.0, India    ,2023,1,19,9,technology is changing the way we live,
15,15, Reflecting on the past and looking ahead.          ,positive,2023-01-19 13:20:00, Reflections  , Facebook , #Reflection #Future                     ,20.0,40.0, USA      ,2023,1,19,13,reflecting on the past and looking ahead,
16,16, Just adopted a cute furry friend! 🐾              ,positive,2023-01-19 17:10:00, PetAdopter   , Instagram , #PetAdoption #FurryFriend               ,15.0,30.0, Canada    ,2023,1,19,17,just adopted a cute furry friend paw_prints,
17,17, Late-night gaming session with friends.            ,positive,2023-01-20 00:05:00, GamerX       , Twitter  , #Gaming #LateNight                      ,18.0,35.0, UK       ,2023,1,20,0,late night gaming session with friends,
18,18, Attending a virtual conference on AI.              ,neutral,2023-01-20 11:30:00, TechConference, Facebook , #AI #TechConference                     ,25.0,50.0,USA,2023,1,20,11,attending a virtual conference on ai,
19,19, Winter blues got me feeling low.                   ,negative,2023-01-20 15:15:00, WinterBlues  , Instagram , #WinterBlues #Mood                      ,8.0,15.0, USA       ,2023,1,20,15,winter blues got me feeling low,
20,20, Sipping coffee and enjoying a good book.           ,positive,2023-01-21 08:40:00, Bookworm     , Twitter  , #Reading #CoffeeTime                    ,22.0,45.0, India    ,2023,1,21,8,sipping coffee and enjoying a good book,
21,21, Exploring the world of virtual reality.            ,positive,2023-01-21 13:20:00, VRExplorer   , Facebook , #VR #VirtualReality                     ,15.0,30.0,USA,2023,1,21,13,exploring the world of virtual reality,
22,22, Productive day ticking off my to-do list.          ,positive,2023-01-21 16:45:00, ProductivityPro, Instagram , #Productivity #WorkFromHome           ,30.0,60.0, USA ,2023,1,21,16,productive day ticking off my to do list,
23,23, Just finished a challenging workout routine.       ,positive,2023-01-22 09:15:00, FitnessWarrior, Twitter  , #Fitness #ChallengeAccepted             ,20.0,40.0, UK       ,2023,1,22,9,just finished a challenging workout routine,
24,24, Celebrating a milestone at work! 🎉               ,positive,2023-01-22 14:30:00, CareerMilestone, Facebook , #Career #Milestone                      ,12.0,25.0, Canada  ,2023,1,22,14,celebrating a milestone at work party_popper,
25,25, Sunday brunch with friends.                        ,positive,2023-01-22 12:00:00, BrunchBuddy  , Instagram , #Brunch #Friends                       ,15.0,30.0, UK ,2023,1,22,12,sunday brunch with friends,
27,28, Learning a new language for personal growth.       ,positive,2023-01-23 16:20:00, LanguageLearner, Facebook , #LanguageLearning #PersonalGrowth       ,25.0,50.0, India     ,2023,1,23,16,learning a new language for personal growth,
28,29, Quiet evening with a good book.                    ,positive,2023-01-23 19:45:00, BookLover    , Instagram , #Reading #QuietTime                     ,15.0,30.0, Australia ,2023,1,23,19,quiet evening with a good book,
29,30, Reflecting on the importance of mental health.     ,positive,2023-01-24 11:30:00, MentalHealthMatters, Twitter  , #MentalHealth #SelfCare                 ,22.0,45.0, USA      ,2023,1,24,11,reflecting on the importance of mental health,
30,31, New painting in progress! 🎨                       ,positive,2023-01-24 15:00:00, ArtistInAction, Facebook , #Art #PaintingInProgress             ,12.0,25.0, Canada ,2023,1,24,15,new painting in progress artist_palette,
31,32, Weekend road trip to explore scenic views.         ,positive,2023-01-24 17:30:00, RoadTripper  , Instagram , #RoadTrip #ScenicViews                  ,18.0,35.0, UK        ,2023,1,24,17,weekend road trip to explore scenic views,
32,33, Enjoying a cup of tea and watching the sunset.     ,positive,2023-01-25 18:00:00, SunsetWatcher, Twitter  , #TeaTime #Sunset                       ,15.0,30.0, India    ,2023,1,25,18,enjoying a cup of tea and watching the sunset,
33,34, Coding a new project with enthusiasm.              ,positive,2023-01-25 13:15:00, CodeEnthusiast, Facebook , #Coding #Enthusiasm                   ,30.0,60.0, USA ,2023,1,25,13,coding a new project with enthusiasm,
34,35, Feeling inspired after attending a workshop.       ,positive,2023-01-26 09:45:00, WorkshopAttendee, Instagram , #Inspiration #Workshop                  ,25.0,50.0,USA,2023,1,26,9,feeling inspired after attending a workshop,
35,36, Winter sports day at the local park.               ,positive,2023-01-26 14:20:00, WinterSports  , Twitter  , #WinterSports #Fun                     ,15.0,30.0, Canada   ,2023,1,26,14,winter sports day at the local park,
36,37, Quality time with family this weekend.             ,positive,2023-01-26 17:40:00, FamilyTime   , Facebook , #FamilyTime #Weekend                    ,22.0,45.0, UK        ,2023,1,26,17,quality time with family this weekend,
37,38, Attending a live music concert tonight.            ,positive,2023-01-27 20:00:00, MusicLover   , Instagram , #Music #ConcertNight                  ,18.0,35.0, USA ,2023,1,27,20,attending a live music concert tonight,
38,39, Practicing mindfulness with meditation.            ,positive,2023-01-27 12:30:00, MindfulMoments, Twitter  , #Mindfulness #Meditation               ,15.0,30.0, India    ,2023,1,27,12,practicing mindfulness with meditation,
39,40, Trying out a new dessert recipe.                   ,positive,2023-01-27 16:10:00, DessertExplorer, Facebook , #Dessert #Cooking                      ,12.0,25.0, Canada ,2023,1,27,16,trying out a new dessert recipe,
40,41, Excited about the upcoming gaming tournament.      ,positive,2023-01-28 09:00:00, GamingEnthusiast, Instagram , #Gaming #Tournament                     ,30.0,60.0,USA,2023,1,28,9,excited about the upcoming gaming tournament,
41,42, Planning a garden makeover for spring.             ,positive,2023-01-28 14:45:00, GardenPlanner , Twitter  , #Gardening #Spring                     ,25.0,50.0, USA      ,2023,1,28,14,planning a garden makeover for spring,
42,43, Celebrating a friend's birthday tonight! 🎂       ,positive,2023-01-28 19:30:00, BirthdayBash , Facebook , #Birthday #Celebration                  ,15.0,30.0, UK ,2023,1,28,19,celebrating a friend s birthday tonight birthday_cake,
43,44, Feeling accomplished after a productive day.       ,positive,2023-01-29 17:00:00, ProductivityWin, Instagram , #Accomplished #Success               ,22.0,45.0, India ,2023,1,29,17,feeling accomplished after a productive day,
44,45, A cozy evening with a good movie.                 ,positive,2023-01-29 20:20:00, MovieNight   , Twitter  , #CozyNight #MovieTime                   ,18.0,35.0, Canada   ,2023,1,29,20,a cozy evening with a good movie,
45,46, Exploring local art galleries this weekend.        ,positive,2023-01-30 11:30:00, ArtExplorer  , Facebook , #Art #GalleryExplore                    ,15.0,30.0, USA      ,2023,1,30,11,exploring local art galleries this weekend,
46,47, New book release from my favorite author!          ,positive,2023-01-30 15:45:00, BookwormX    , Instagram , #BookRelease #FavoriteAuthor           ,12.0,25.0, UK   ,2023,1,30,15,new book release from my favorite author,
47,48, Attending a virtual reality meetup.                ,positive,2023-01-30 18:30:00, VRMeetup     , Twitter  , #VRMeetup #VirtualReality               ,28.0,55.0, India    ,2023,1,30,18,attending a virtual reality meetup,
48,49, Reflecting on the beauty of nature.                ,positive,2023-01-31 10:45:00, NatureLover  , Facebook , #Nature #Reflection                     ,15.0,30.0, Australia ,2023,1,31,10,reflecting on the beauty of nature,
49,50, Cooking a special dinner for loved ones.           ,positive,2023-01-31 19:00:00, ChefAtHome   , Instagram , #Cooking #SpecialDinner                ,20.0,40.0, USA       ,2023,1,31,19,cooking a special dinner for loved ones,
50,51, Feeling optimistic about the week ahead.           ,positive,2023-01-31 16:20:00, OptimisticMindset, Twitter  , #Optimism #NewWeek                     ,15.0,30.0, Canada   ,2023,1,31,16,feeling optimistic about the week ahead,
51,52, Starting a new fitness challenge tomorrow! 💪     ,positive,2023-02-01 08:00:00, FitnessChallenge, Facebook , #FitnessChallenge #NewBeginnings       ,22.0,45.0, UK         ,2023,2,1,8,starting a new fitness challenge tomorrow flexed_biceps,
52,53, Sunday bike ride through scenic trails.           ,positive,2023-02-01 13:30:00, BikeExplorer  , Instagram , #BikeRide #ScenicTrails                ,18.0,35.0, USA     ,2023,2,1,13,sunday bike ride through scenic trails,
53,55, Can't believe the injustice happening in our society.,anger,2023-02-11 09:30:00, SocialJustice   , Twitter  , #Injustice #Angry                            ,20.0,40.0, Canada     ,2023,2,11,9,can t believe the injustice happening in our society,
54,56, Feeling a sense of fear after watching a thriller movie. ,fear,2023-02-11 21:15:00, ThrillerFan     , Instagram , #Fear #ThrillerMovie                         ,15.0,30.0, USA          ,2023,2,11,21,feeling a sense of fear after watching a thriller movie,
55,57, Heartbroken after hearing the news about a natural disaster. ,sadness,2023-02-12 14:45:00, EmpathyFirst    , Facebook , #Sadness #NaturalDisaster                    ,25.0,50.0, India      ,2023,2,12,14,heartbroken after hearing the news about a natural disaster,
56,58, The state of the world's environment is just disgusting. ,disgust,2023-02-12 18:20:00, EcoAwareness    , Twitter  , #Disgust #Environment                        ,18.0,35.0, UK         ,2023,2,12,18,the state of the world s environment is just disgusting,
57,59, Pure happiness: celebrating a loved one's achievement! ,happiness,2023-02-13 10:00:00, ProudFriend     , Instagram , #Happiness #Celebration                   ,30.0,60.0, USA ,2023,2,13,10,pure happiness celebrating a loved one s achievement,
58,60, Laughter is the best medicine—enjoying a comedy show. ,joy,2023-02-13 19:30:00, ComedyFan       , Facebook , #Joy #ComedyShow                             ,22.0,45.0, Canada    ,2023,2,13,19,laughter is the best medicine enjoying a comedy show,
59,61, Sharing love and positive vibes with everyone! ❤️      ,love,2023-02-14 08:30:00, LoveSpreader    , Twitter  , #Love #SpreadLove                            ,15.0,30.0, Australia  ,2023,2,14,8,sharing love and positive vibes with everyone red_heart,
60,62, An amusing incident brightened up my day!               ,amusement,2023-02-14 14:20:00, AmusedSoul      , Instagram , #Amusement #FunTimes                         ,18.0,35.0, UK           ,2023,2,14,14,an amusing incident brightened up my day,
61,63, Enjoying a quiet evening with a book and some tea.      ,enjoyment,2023-02-14 19:45:00, BookLoverAgain  , Facebook , #Enjoyment #BookTime                         ,25.0,50.0, Canada       ,2023,2,14,19,enjoying a quiet evening with a book and some tea,
62,64, Admiring the beauty of nature during a peaceful hike.   ,admiration,2023-02-15 11:30:00, NatureAdmirer   , Twitter  , #Admiration #Nature                         ,20.0,40.0, USA       ,2023,2,15,11,admiring the beauty of nature during a peaceful hike,
63,65, Sending affectionate vibes to all my followers!          ,affection,2023-02-15 16:00:00, AffectionSender , Instagram , #Affection #PositiveVibes                   ,15.0,30.0,USA,2023,2,15,16,sending affectionate vibes to all my followers,
64,66, Experiencing awe at the breathtaking sunset.            ,awe,2023-02-15 20:30:00, AweStruck       , Facebook , #Awe #Breathtaking                          ,22.0,45.0, Australia   ,2023,2,15,20,experiencing awe at the breathtaking sunset,
65,67, Disappointed with the service at a local restaurant.    ,disappointed,2023-02-16 09:00:00, FoodieGoneWrong , Twitter  , #Disappointed #BadService                   ,18.0,35.0, India      ,2023,2,16,9,disappointed with the service at a local restaurant,
66,68, A surprise gift from a friend made my day!              ,surprise,2023-02-16 14:45:00, HappySurprise   , Instagram , #Surprise #Gift                              ,25.0,50.0, USA          ,2023,2,16,14,a surprise gift from a friend made my day,
67,69, Finding acceptance in the midst of life's challenges.   ,acceptance,2023-02-16 18:20:00, AcceptanceSeeker, Facebook , #Acceptance #Challenges                     ,15.0,30.0, Canada     ,2023,2,16,18,finding acceptance in the midst of life s challenges,
68,70, Overflowing with adoration for my adorable pet! 🐾      ,adoration,2023-02-17 10:45:00, PetAdorer       , Twitter  , #Adoration #PetLove                         ,22.0,45.0, UK        ,2023,2,17,10,overflowing with adoration for my adorable pet paw_prints,
69,71, Anticipating a thrilling adventure in the coming weeks. ,anticipation,2023-02-17 07:30:00, AdventureAwaits  , Instagram , #Anticipation #Adventure                    ,20.0,40.0,USA,2023,2,17,7,anticipating a thrilling adventure in the coming weeks,
70,72, A bitter experience turned into a valuable lesson.      ,bitter,2023-02-17 15:00:00, LearnFromBitter , Facebook , #BitterLesson #Growth                      ,18.0,35.0, USA       ,2023,2,17,15,a bitter experience turned into a valuable lesson,
71,73, Finding calmness in the midst of a busy day.            ,calmness,2023-02-18 09:30:00, ZenMaster       , Twitter  , #Calmness #PeacefulMind                    ,15.0,30.0, India     ,2023,2,18,9,finding calmness in the midst of a busy day,
72,74, Confusion clouds my mind as I navigate through decisions.,confusion,2023-02-18 14:20:00, ConfusedMind    , Instagram , #Confusion #DecisionMaking                 ,25.0,50.0, UK   ,2023,2,18,14,confusion clouds my mind as i navigate through decisions,
73,75, Excitement building up for the upcoming vacation!       ,excitement,2023-02-18 18:45:00, VacationDreamer , Facebook , #Excitement #TravelPlans                   ,22.0,45.0, Canada    ,2023,2,18,18,excitement building up for the upcoming vacation,
74,76, Kindness witnessed today restored my faith in humanity. ,kind,2023-02-19 11:30:00, KindnessPrevails, Twitter  , #Kindness #Humanity                        ,20.0,40.0, USA       ,2023,2,19,11,kindness witnessed today restored my faith in humanity,
75,77, Pride in achieving a personal milestone.               ,pride,2023-02-19 16:00:00, PersonalAchiever, Instagram , #Pride #Milestone                           ,30.0,60.0, Australia    ,2023,2,19,16,pride in achieving a personal milestone,
76,78, A moment of shame for not standing up against injustice. ,shame,2023-02-19 19:45:00, ReflectiveSelf  , Facebook , #Shame #Injustice                           ,15.0,30.0, India      ,2023,2,19,19,a moment of shame for not standing up against injustice,
77,79, Fuming with anger after a heated argument.            ,anger,2023-02-20 09:30:00, AngryDebater    , Twitter  , #Anger #Argument                             ,20.0,40.0, Canada     ,2023,2,20,9,fuming with anger after a heated argument,
78,80, The fear of the unknown is keeping me up at night.    ,fear,2023-02-20 21:15:00, FearfulDreamer  , Instagram , #Fear #Unknown                               ,15.0,30.0, USA          ,2023,2,20,21,the fear of the unknown is keeping me up at night,
79,81, Heartfelt sadness after bidding farewell to a dear friend. ,sadness,2023-02-21 14:45:00, FarewellHeart   , Facebook , #Sadness #Farewell                          ,25.0,50.0, India      ,2023,2,21,14,heartfelt sadness after bidding farewell to a dear friend,
80,82, The state of corruption in our society is utterly disgusting. ,disgust,2023-02-21 18:20:00, AntiCorruption  , Twitter  , #Disgust #Corruption                         ,18.0,35.0, UK         ,2023,2,21,18,the state of corruption in our society is utterly disgusting,
81,83, Overflowing happiness: welcoming a new family member!  ,happiness,2023-02-22 10:00:00, NewParentJoy    , Instagram , #Happiness #NewFamilyMember                 ,30.0,60.0, UK           ,2023,2,22,10,overflowing happiness welcoming a new family member,
82,84, Laughter is the key to joy—attending a stand-up comedy show. ,joy,2023-02-22 19:30:00, StandUpFan      , Facebook , #Joy #StandUpComedy                         ,22.0,45.0, Canada    ,2023,2,22,19,laughter is the key to joy attending a stand up comedy show,
83,85, Sending love to all my followers on this beautiful day! ❤️ ,love,2023-02-23 08:30:00, LoveSender      , Twitter  , #Love #SpreadLove                            ,15.0,30.0, Australia  ,2023,2,23,8,sending love to all my followers on this beautiful day red_heart,
84,86, Amused by the antics of my pet—it's pure amusement!      ,amusement,2023-02-23 14:20:00, PetAmuser       , Instagram , #Amusement #PetAntics                       ,18.0,35.0, UK           ,2023,2,23,14,amused by the antics of my pet it s pure amusement,
85,87, Enjoying every moment of this trip—pure enjoyment!      ,enjoyment,2023-02-23 19:45:00, TravelExplorer  , Facebook , #Enjoyment #Travel                           ,25.0,50.0, USA ,2023,2,23,19,enjoying every moment of this trip pure enjoyment,
86,88, Admiring the dedication of volunteers at a local charity. ,admiration,2023-02-24 11:30:00, CharityAdmirer  , Twitter  , #Admiration #Volunteers                     ,20.0,40.0, USA        ,2023,2,24,11,admiring the dedication of volunteers at a local charity,
87,89, Sending affectionate vibes to friends and family.        ,affection,2023-02-24 16:00:00, FamilyLover     , Instagram , #Affection #FamilyLove                      ,15.0,30.0,USA,2023,2,24,16,sending affectionate vibes to friends and family,
88,90, Awe-struck by the beauty of the night sky.               ,awe,2023-02-24 20:30:00, Stargazer       , Facebook , #Awe #StarryNight                        ,22.0,45.0, Australia ,2023,2,24,20,awe struck by the beauty of the night sky,
89,91, Disappointed with the lack of progress in a personal project. ,disappointed,2023-02-25 09:00:00, ProjectStruggle , Twitter  , #Disappointed #Project                     ,18.0,35.0, India      ,2023,2,25,9,disappointed with the lack of progress in a personal project,
90,92, A surprise visit from an old friend brought tears of joy. ,surprise,2023-02-25 14:45:00, JoyfulReunion   , Instagram , #Surprise #OldFriends                       ,25.0,50.0, USA          ,2023,2,25,14,a surprise visit from an old friend brought tears of joy,
91,93, Embracing acceptance of life's ups and downs.           ,acceptance,2023-02-25 18:20:00, LifeAcceptance  , Facebook , #Acceptance #LifeJourney                   ,15.0,30.0, Canada     ,2023,2,25,18,embracing acceptance of life s ups and downs,
92,94, Overflowing adoration for a cute rescue puppy! 🐶       ,adoration,2023-02-26 10:45:00, PuppyAdmirer    , Twitter  , #Adoration #PuppyLove                       ,22.0,45.0, UK         ,2023,2,26,10,overflowing adoration for a cute rescue puppy dog_face,
93,95, Anticipating the release of a much-awaited movie.       ,anticipation,2023-02-26 07:30:00, MovieBuff2      , Instagram , #Anticipation #MovieRelease                 ,20.0,40.0, Australia    ,2023,2,26,7,anticipating the release of a much awaited movie,
94,96, Bitter experience at the customer service department.   ,bitter,2023-02-26 15:00:00, CustomerWoes    , Facebook , #BitterExperience #CustomerService         ,18.0,35.0, USA       ,2023,2,26,15,bitter experience at the customer service department,
95,97, Finding calmness amidst the chaos of daily life.        ,calmness,2023-02-27 09:30:00, CalmSoul        , Twitter  , #Calmness #InnerPeace                      ,15.0,30.0, India     ,2023,2,27,9,finding calmness amidst the chaos of daily life,
96,98, Confusion reigns as I try to make sense of recent events.,confusion,2023-02-27 14:20:00, ConfusedMind2   , Instagram , #Confusion #MakingSense                    ,25.0,50.0, UK   ,2023,2,27,14,confusion reigns as i try to make sense of recent events,
97,99, Excitement building up for a surprise birthday party.   ,excitement,2023-02-27 18:45:00, BirthdayExcite  , Facebook , #Excitement #SurpriseParty                 ,22.0,45.0, Canada ,2023,2,27,18,excitement building up for a surprise birthday party,
98,100, Witnessed an act of kindness that made my day.          ,kind,2023-02-28 11:30:00, KindnessObserver, Twitter  , #Kindness #ActsOfKindness                  ,20.0,40.0, USA       ,2023,2,28,11,witnessed an act of kindness that made my day,
99,101, Pride in completing a challenging fitness challenge.    ,pride,2023-02-28 16:00:00, FitAchiever     , Instagram , #Pride #FitnessChallengeCompleted          ,30.0,60.0, UK            ,2023,2,28,16,pride in completing a challenging fitness challenge,
100,102, A moment of shame for not speaking up against injustice.,shame,2023-02-28 19:45:00, ReflectiveSelf2 , Facebook , #Shame #Injustice                           ,15.0,30.0, India     ,2023,2,28,19,a moment of shame for not speaking up against injustice,
101,103, Reflecting on the beauty of diversity in our world.     ,acceptance,2023-03-01 10:45:00, DiversityLover  , Twitter  , #Acceptance #Diversity                      ,22.0,45.0, Australia ,2023,3,1,10,reflecting on the beauty of diversity in our world,
102,104, Excitement for a quiet evening with a good book.        ,excitement,2023-03-01 13:30:00, BookwormJoy     , Instagram , #Excitement #BookTime                       ,18.0,35.0, USA          ,2023,3,1,13,excitement for a quiet evening with a good book,
103,105, Feeling bitter about the unfairness in the workplace.   ,bitter,2023-03-01 17:45:00, WorkplaceWoes   , Twitter  , #Bitter #Unfairness                         ,15.0,30.0, Canada    ,2023,3,1,17,feeling bitter about the unfairness in the workplace,
104,106, Calmness prevails as I practice mindfulness.            ,calmness,2023-03-02 18:00:00, MindfulMe       , Facebook , #Calmness #Mindfulness                      ,15.0,30.0, UK        ,2023,3,2,18,calmness prevails as i practice mindfulness,
105,107, Confusion surrounds me as I navigate through life's choices. ,confusion,2023-03-02 13:15:00, ConfusedMind3   , Instagram , #Confusion #LifeChoices                     ,30.0,60.0, USA   ,2023,3,2,13,confusion surrounds me as i navigate through life s choices,
106,108, Excitement for a weekend road trip to explore new places. ,excitement,2023-03-02 16:45:00, RoadTripper2    , Twitter  , #Excitement #WeekendAdventure               ,25.0,50.0, India     ,2023,3,2,16,excitement for a weekend road trip to explore new places,
107,109, Kindness witnessed today restores my faith in humanity.  ,kind,2023-03-03 11:30:00, KindnessPrevails2, Facebook , #Kindness #HumanityRestored                 ,22.0,45.0, USA       ,2023,3,3,11,kindness witnessed today restores my faith in humanity,
108,110, Pride in accomplishing personal and professional goals.  ,pride,2023-03-03 14:30:00, GoalAchiever    , Instagram , #Pride #Accomplishments                     ,12.0,25.0, Canada ,2023,3,3,14,pride in accomplishing personal and professional goals,
109,111, Shame for not being true to my values in a difficult situation.,shame,2023-03-03 12:00:00, ReflectiveSelf3 , Twitter  , #Shame #Integrity                           ,15.0,30.0, UK        ,2023,3,3,12,shame for not being true to my values in a difficult situation,
110,112," Revisiting old memories, feeling a sense of elation. ",elation,2010-05-15 15:30:00, NostalgiaFan    , Twitter  , #Elation #Memories                             ,20.0,40.0, Canada    ,2010,5,15,15,revisiting old memories feeling a sense of elation,
111,113, The victory of our team brought euphoria to the city. ,euphoria,2021-08-10 21:15:00, SportsFanatic   , Instagram , #Euphoria #Victory                             ,15.0,30.0, USA      ,2021,8,10,21,the victory of our team brought euphoria to the city,
112,114," Embracing the beauty of nature, a moment of contentment. ",contentment,2011-06-20 14:45:00, NatureLover2    , Facebook , #Contentment #Nature                           ,25.0,50.0, India       ,2011,6,20,14,embracing the beauty of nature a moment of contentment,
113,115," Meditating by the serene lake, finding inner peace.   ",serenity,2022-02-12 18:20:00, ZenMaster2      , Twitter  , #Serenity #Meditation                          ,18.0,35.0, UK          ,2022,2,12,18,meditating by the serene lake finding inner peace,
114,116, Overflowing with gratitude for life's blessings.      ,gratitude,2012-11-25 10:00:00, ThankfulHeart   , Instagram , #Gratitude #Blessed                            ,30.0,60.0, Australia   ,2012,11,25,10,overflowing with gratitude for life s blessings,
115,117," Hopeful for a brighter tomorrow, despite challenges.  ",hope,2013-04-05 19:30:00, OptimisticSoul  , Facebook , #Hope #Optimism                                ,22.0,45.0, USA      ,2013,4,5,19,hopeful for a brighter tomorrow despite challenges,
116,118, Empowered to make a difference in my community.        ,empowerment,2014-09-14 08:30:00, CommunityLeader , Twitter  , #Empowerment #Community                        ,15.0,30.0, UK       ,2014,9,14,8,empowered to make a difference in my community,
117,119, Compassion in action: supporting a local charity event. ,compassion,2015-07-18 14:20:00, CharitySupporter, Instagram , #Compassion #CharityEvent                   ,18.0,35.0, Canada ,2015,7,18,14,compassion in action supporting a local charity event,
118,120," A moment of tenderness, connecting with loved ones.    ",tenderness,2016-02-23 19:45:00, LovingHeart     , Facebook , #Tenderness #FamilyTime                       ,25.0,50.0, UK          ,2016,2,23,19,a moment of tenderness connecting with loved ones,
119,121, Arousal of excitement as I await a special announcement.,arousal,2017-10-30 11:30:00, ExcitementFan   , Twitter  , #Arousal #Excitement                           ,20.0,40.0, Australia ,2017,10,30,11,arousal of excitement as i await a special announcement,
120,122, Enthusiastically diving into a new project.            ,enthusiasm,2018-06-15 16:00:00, ProjectEnthusiast, Instagram , #Enthusiasm #NewProject                       ,15.0,30.0, USA  ,2018,6,15,16,enthusiastically diving into a new project,
121,123, Feeling a sense of fulfillment after reaching a milestone.,fulfillment,2019-03-28 18:20:00, MilestoneAchiever, Facebook , #Fulfillment #Milestone                       ,22.0,45.0, India     ,2019,3,28,18,feeling a sense of fulfillment after reaching a milestone,
122,124, Reverence for the beauty of a historic landmark.       ,reverence,2019-11-11 15:00:00, HistoryLover    , Twitter  , #Reverence #History                           ,18.0,35.0, UK      ,2019,11,11,15,reverence for the beauty of a historic landmark,
123,125, Elation after a surprise reunion with old friends.    ,elation,2020-04-02 09:30:00, JoyfulReunion2  , Instagram , #Elation #OldFriends                          ,25.0,50.0, Canada      ,2020,4,2,9,elation after a surprise reunion with old friends,
124,126, The euphoria of a live music concert under the stars.  ,euphoria,2021-06-19 14:45:00, MusicEnthusiast , Facebook , #Euphoria #LiveMusic                          ,15.0,30.0, USA ,2021,6,19,14,the euphoria of a live music concert under the stars,
125,127, Contentment in the simplicity of a quiet Sunday.       ,contentment,2010-08-15 10:00:00, SimpleJoys      , Twitter  , #Contentment #SundayMood                      ,30.0,60.0, Australia ,2010,8,15,10,contentment in the simplicity of a quiet sunday,
126,128, Serenity found in the pages of a favorite book.        ,serenity,2011-09-22 19:30:00, BookLover3      , Instagram , #Serenity #BookTime                           ,22.0,45.0, UK          ,2011,9,22,19,serenity found in the pages of a favorite book,
127,129, Gratitude for the support received during tough times. ,gratitude,2012-03-10 08:30:00, SupportiveFriend, Facebook , #Gratitude #Supportive                        ,15.0,30.0, India     ,2012,3,10,8,gratitude for the support received during tough times,
128,130, Hopeful about the possibilities of a new journey.      ,hope,2013-12-05 16:00:00, JourneyOptimist , Twitter  , #Hope #NewBeginnings                          ,18.0,35.0, Canada    ,2013,12,5,16,hopeful about the possibilities of a new journey,
129,131, Empowerment through learning and personal growth.      ,empowerment,2014-07-20 11:30:00, GrowthSeeker    , Instagram , #Empowerment #PersonalGrowth                  ,25.0,50.0,USA,2014,7,20,11,empowerment through learning and personal growth,
